RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,EVENTS,MONEY,YTD VICTORIES
1,2,Justin Thomas,25,"$9,921,560",5
2,1,Jordan Spieth,23,"$9,433,033",3
3,3,Dustin Johnson,20,"$8,732,193",4
4,4,Hideki Matsuyama,22,"$8,380,569",3
5,6,Jon Rahm,23,"$6,123,248",1
6,5,Rickie Fowler,21,"$6,083,197",1
7,7,Marc Leishman,25,"$5,866,390",2
8,8,Brooks Koepka,24,"$5,612,397",1
9,9,Kevin Kisner,28,"$4,766,936",1
10,10,Brian Harman,30,"$4,396,470",1
11,11,Pat Perez,26,"$4,361,400",1
12,33,Xander Schauffele,28,"$4,312,674",2
13,12,Daniel Berger,26,"$4,287,161",1
14,13,Matt Kuchar,26,"$4,282,488",
15,15,Justin Rose,18,"$4,245,308",
16,14,Charley Hoffman,31,"$4,161,008",
17,16,Paul Casey,24,"$3,906,974",
18,18,Sergio Garcia,17,"$3,522,476",1
19,17,Adam Hadwin,28,"$3,455,012",1
20,25,Russell Henley,27,"$3,413,876",1
21,19,Kyle Stanley,29,"$3,402,106",1
22,20,Jason Dufner,24,"$3,310,341",1
23,23,Webb Simpson,28,"$3,209,646",
24,22,Kevin Chappell,27,"$3,149,615",1
25,21,Louis Oosthuizen,18,"$3,105,422",
26,27,Patrick Reed,29,"$3,055,111",
27,29,Gary Woodland,26,"$2,980,225",
28,31,Jason Day,20,"$2,978,181",
29,30,Jhonattan Vegas,29,"$2,944,738",1
30,24,Brendan Steele,25,"$2,907,095",1
31,26,Francesco Molinari,21,"$2,875,850",
32,28,Bill Haas,25,"$2,842,173",
33,37,Tony Finau,29,"$2,838,629",
34,32,Henrik Stenson,15,"$2,769,771",1
35,34,Billy Horschel,28,"$2,697,960",1
36,35,Si Woo Kim,30,"$2,681,177",1
37,36,Charles Howell III,23,"$2,606,383",
38,38,Wesley Bryan,28,"$2,495,751",1
39,39,Rory McIlroy,14,"$2,430,182",
40,40,Zach Johnson,23,"$2,362,968",
41,41,Mackenzie Hughes,31,"$2,355,553",1
42,42,Hudson Swafford,28,"$2,246,090",1
43,43,Charl Schwartzel,18,"$2,156,036",
44,44,Cameron Smith,26,"$2,123,216",1
45,45,Phil Mickelson,22,"$2,102,599",
46,46,Ian Poulter,20,"$2,098,346",
47,54,Patrick Cantlay,13,"$2,049,632",
48,47,Lucas Glover,26,"$1,955,822",
49,48,Anirban Lahiri,22,"$1,944,289",
50,49,Sung Kang,32,"$1,943,309",
51,50,Keegan Bradley,29,"$1,940,478",
52,51,Ollie Schniederjans,28,"$1,935,669",
53,52,Rafa Cabrera Bello,19,"$1,934,675",
54,53,Jamie Lovemark,28,"$1,886,972",
55,55,Sean O'Hair,25,"$1,873,856",
56,56,James Hahn,28,"$1,841,314",
57,57,Chez Reavie,28,"$1,819,206",
58,58,Bryson DeChambeau,31,"$1,817,054",1
59,59,Luke List,31,"$1,813,219",
60,60,Martin Laird,25,"$1,759,706",
61,61,Ryan Moore,24,"$1,751,851",
62,62,Scott Brown,29,"$1,748,324",
63,63,Kevin Na,26,"$1,728,350",
64,64,Adam Scott,16,"$1,695,144",
65,65,Russell Knox,24,"$1,643,924",
66,66,Kelly Kraft,27,"$1,638,045",
67,67,Brandt Snedeker,15,"$1,625,806",
68,68,Danny Lee,32,"$1,611,331",
69,69,Graham DeLaet,25,"$1,603,666",
70,70,Robert Streb,30,"$1,588,287",
71,71,Emiliano Grillo,25,"$1,567,015",
72,72,Bud Cauley,28,"$1,553,685",
73,73,Rod Pampling,22,"$1,539,422",1
74,74,Kevin Tway,27,"$1,472,613",
75,75,Grayson Murray,30,"$1,468,728",1
76,76,Stewart Cink,26,"$1,463,923",
77,77,Jonas Blixt,25,"$1,408,288",1
78,78,J.B. Holmes,23,"$1,353,584",
79,79,Patrick Rodgers,27,"$1,346,322",
80,80,Chad Campbell,29,"$1,329,941",
81,81,Scott Piercy,22,"$1,317,452",
82,82,Branden Grace,20,"$1,315,054",
83,83,Kevin Streelman,26,"$1,313,327",
84,84,Chris Stroud,22,"$1,308,445",1
85,85,Cody Gribble,28,"$1,305,554",1
86,86,Morgan Hoffmann,29,"$1,278,568",
87,87,Cheng Tsung Pan,29,"$1,267,649",
88,88,Nick Taylor,29,"$1,255,259",
89,89,Byeong Hun An,22,"$1,236,090",
90,90,William McGirt,28,"$1,225,005",
91,91,Bubba Watson,22,"$1,223,129",
92,92,Chris Kirk,28,"$1,216,047",
93,93,Jim Herman,25,"$1,205,632",
94,94,Jason Kokrak,28,"$1,173,708",
95,95,Whee Kim,27,"$1,125,368",
96,96,J.J. Spaun,29,"$1,122,611",
97,97,Patton Kizzire,28,"$1,110,395",
98,98,Jimmy Walker,21,"$1,101,162",
99,99,Seung-Yul Noh,31,"$1,080,706",
100,100,David Lingmerth,23,"$1,070,754",
101,101,Michael Kim,28,"$1,018,204",
102,102,Steve Stricker,13,"$1,002,036",
103,103,Camilo Villegas,25,"$971,420",
104,104,Ryan Blaum,29,"$962,768",
105,105,Luke Donald,18,"$958,850",
106,106,Scott Stallings,27,"$955,337",
107,107,Brian Gay,25,"$942,372",
108,108,Harold Varner III,31,"$918,779",
109,109,Derek Fathauer,27,"$898,491",
110,110,D.A. Points,22,"$893,700",1
111,111,Richy Werenski,26,"$890,262",
112,112,Robert Garrigus,26,"$880,905",
113,113,Dominic Bozzelli,24,"$868,519",
114,114,Geoff Ogilvy,25,"$867,249",
115,115,Harris English,27,"$864,960",
116,116,Brandon Hagy,26,"$861,227",
117,117,Ben Martin,27,"$850,319",
118,118,Shane Lowry,16,"$831,411",
119,119,Martin Flores,27,"$830,057",
120,120,Daniel Summerhays,29,"$826,124",
121,121,Nick Watney,23,"$824,162",
122,122,Blayne Barber,25,"$823,082",
123,123,Tyrone Van Aswegen,32,"$806,410",
124,124,David Hearn,29,"$800,710",
125,125,Vaughn Taylor,26,"$797,385",
126,126,Cameron Tringale,28,"$792,814",
127,127,Zac Blair,32,"$788,352",
128,128,Smylie Kaufman,26,"$784,758",
129,129,Ryan Palmer,20,"$772,560",
130,130,John Huh,28,"$767,575",
131,131,Trey Mullinax,28,"$758,141",
132,132,Aaron Baddeley,20,"$755,356",
133,133,Rory Sabbatini,23,"$741,617",
134,134,Greg Owen,17,"$738,711",
135,135,J.J. Henry,29,"$734,874",
136,136,Søren Kjeldsen,17,"$722,913",
137,137,Billy Hurley III,25,"$719,579",
138,138,Ricky Barnes,31,"$697,624",
139,139,Chad Collins,26,"$693,743",
140,140,Johnson Wagner,26,"$685,306",
141,141,Sam Saunders,24,"$678,117",
142,142,J.T. Poston,28,"$662,565",
143,143,Seamus Power,25,"$646,180",
144,144,Graeme McDowell,17,"$639,770",
145,145,Cameron Percy,23,"$623,694",
146,146,Ben Crane,26,"$618,483",
147,147,Alex Cejka,28,"$618,171",
148,148,Brian Stuard,31,"$588,806",
149,149,Troy Merritt,28,"$569,682",
150,150,Michael Thompson,21,"$568,991",
151,151,Sebastián Muñoz,17,"$563,900",
152,152,Jim Furyk,18,"$558,098",
153,153,Rick Lamb,19,"$524,372",
154,154,Jonathan Randolph,22,"$511,032",
155,155,Matt Jones,20,"$510,622",
156,156,Tag Ridings,20,"$489,927",
157,157,Spencer Levin,31,"$469,730",
158,158,Kyle Reifers,32,"$454,570",
159,159,Julián Etulain,22,"$448,214",
160,160,Ryan Armour,20,"$443,006",
161,161,Andres Gonzales,24,"$422,078",
162,162,Boo Weekley,27,"$416,929",
163,163,Retief Goosen,19,"$414,363",
164,164,Tim Wilkinson,22,"$411,459",
165,165,Shawn Stefani,26,"$404,377",
166,166,Ryan Brehm,25,"$396,258",
167,167,Tom Hoge,17,"$373,092",
168,168,Roberto Castro,25,"$367,362",
169,169,Peter Malnati,29,"$358,541",
170,170,Matt Every,30,"$351,412",
171,171,Joel Dahmen,16,"$344,824",
172,172,Greg Chalmers,28,"$344,631",
173,173,Vijay Singh,18,"$337,305",
174,174,Fabián Gómez,21,"$332,352",
175,175,John Peterson,15,"$329,705",
176,176,Jonathan Byrd,9,"$328,337",
177,177,Ryo Ishikawa,20,"$319,748",
178,178,Steve Wheatcroft,17,"$309,518",
179,179,Andrew Johnston,13,"$293,233",
180,180,K.J. Choi,25,"$292,716",
181,181,Hunter Mahan,26,"$277,235",
182,182,Andrew Loupe,21,"$273,070",
183,183,Will MacKenzie,16,"$272,288",
184,184,Brett Stegmaier,27,"$271,031",
185,185,Mark Hubbard,27,"$267,968",
186,186,Gonzalo Fernandez-Castaño,22,"$258,162",
187,187,Davis Love III,13,"$257,270",
188,188,Brian Campbell,20,"$237,537",
189,189,Bill Lunde,8,"$233,984",
190,190,Ken Duke,26,"$225,907",
191,191,Steven Alker,23,"$218,681",
192,192,Danny Willett,11,"$217,975",
193,193,Bryce Molder,26,"$216,892",
194,194,Ángel Cabrera,16,"$210,479",
195,195,Stuart Appleby,16,"$206,607",
196,196,Andres Romero,10,"$196,518",
197,197,Mark Anderson,20,"$188,806",
198,198,Miguel Angel Carballo,22,"$186,623",
199,199,Brett Drewitt,19,"$184,388",
200,200,Hiroshi Iwata,10,"$179,133",
201,201,Nicholas Lindheim,21,"$175,107",
202,202,Padraig Harrington,11,"$171,407",
203,203,Brad Fritsch,18,"$166,440",
204,204,Jason Bohn,28,"$165,910",
205,205,Dicky Pride,7,"$165,022",
206,206,Carl Pettersson,27,"$164,621",
207,207,Ernie Els,20,"$155,926",
208,208,Fred Couples,1,"$148,500",
209,209,Will Wilcox,14,"$137,567",
210,210,Jason Gore,5,"$133,125",
211,211,Jon Curran,11,"$128,092",
212,212,John Senden,14,"$104,044",
213,213,Mark Wilson,15,"$100,286",
214,214,Steve Marino,15,"$98,573",
215,215,Chesson Hadley,8,"$82,208",
216,216,Bob Estes,15,"$76,930",
217,217,John Merrick,9,"$74,648",
218,218,Tyler Aldridge,14,"$67,722",
219,219,Y.E. Yang,9,"$67,091",
220,220,Charlie Wi,6,"$65,613",
221,221,Freddie Jacobson,9,"$61,129",
222,222,Jerry Kelly,7,"$59,856",
223,223,Brendon de Jonge,14,"$54,273",
224,224,Craig Barlow,3,"$53,426",
225,225,Arjun Atwal,6,"$40,799",
226,226,Zack Sucher,14,"$35,135",
227,227,Bobby Wyatt,20,"$33,139",
228,228,Robert Allenby,4,"$32,851",
229,229,"Ted Potter, Jr.",2,"$31,284",
230,230,Tim Herron,8,"$29,857",
231,231,Larry Mize,1,"$27,720",
232,232,Steven Bowditch,27,"$24,650",
233,233,Tommy Gainey,8,"$23,717",
234,234,Omar Uresti,2,"$19,250",
235,235,Max Homa,17,"$18,008",
236,236,Shane Bertsch,9,"$15,328",
237,237,D.J. Trahan,5,"$15,155",
238,238,Brendon Todd,9,"$14,925",
239,239,Charlie Beljan,8,"$13,869",
240,240,Justin Leonard,1,"$13,702",
241,241,Colt Knost,5,"$13,580",
242,242,Michael Bradley,3,"$13,514",
243,243,Troy Matteson,4,"$12,376",
244,244,Fred Funk,1,"$11,280",
245,245,Tim Petrovic,2,"$9,984",
245,245,David Toms,3,"$9,984",
245,245,George McNeill,7,"$9,984",
248,248,Eric Axley,4,"$9,198",
249,249,John Rollins,6,"$8,736",
250,250,Peter Lonard,1,"$7,524",
251,251,Chris Smith,2,"$6,755",
252,252,Shaun Micheel,3,"$6,300",
