RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVERAGE,TOTAL SG:PUTTING,MEASURED ROUNDS
1,1,Jason Day,76,1.130,61.042,54
2,2,Jordan Spieth,80,.758,43.954,58
3,3,Kevin Kisner,97,.672,49.051,73
4,4,Andrew Landry,53,.654,21.591,33
5,6,Steve Stricker,53,.620,27.895,45
6,7,Harris English,97,.594,43.331,73
7,8,Daniel Summerhays,99,.592,46.747,79
8,9,Aaron Baddeley,93,.586,43.961,75
9,5,Phil Mickelson,75,.565,33.335,59
10,10,Bryce Molder,80,.553,37.064,67
11,11,Adam Hadwin,93,.530,46.675,88
12,12,Jonas Blixt,79,.527,35.810,68
13,13,Martin Piller,59,.518,24.357,47
14,14,Peter Malnati,85,.491,36.352,74
15,15,Freddie Jacobson,86,.487,35.039,72
16,16,Brian Harman,104,.465,42.762,92
17,17,Brendon Todd,66,.462,24.939,54
17,17,Retief Goosen,55,.462,22.157,48
19,19,Brooks Koepka,75,.445,26.681,60
20,21,Patton Kizzire,93,.442,33.154,75
21,22,Billy Hurley III,66,.433,25.520,59
22,23,Jon Curran,99,.407,34.190,84
23,24,Ernie Els,66,.405,22.659,56
24,25,Luke Guthrie,57,.404,18.169,45
25,26,Zach Johnson,90,.395,28.816,73
25,30,Brandt Snedeker,93,.395,29.605,75
25,26,Colt Knost,90,.395,28.051,71
28,28,Ricky Barnes,97,.385,30.827,80
29,20,Matt Kuchar,100,.381,29.342,77
30,29,William McGirt,98,.360,31.667,88
31,31,Derek Fathauer,94,.356,27.054,76
32,39,Ryan Moore,86,.351,22.831,65
33,32,K.J. Choi,73,.349,23.403,67
34,33,Tim Wilkinson,72,.335,16.775,50
35,34,John Senden,88,.321,25.352,79
36,37,Wes Roach,59,.299,12.878,43
37,35,Dustin Johnson,87,.281,17.729,63
38,36,Patrick Reed,105,.280,21.805,78
38,40,Andrew Loupe,75,.280,18.765,67
40,41,Michael Kim,100,.276,23.706,86
41,42,Johnson Wagner,86,.273,20.728,76
42,43,Mark Hubbard,101,.272,22.546,83
43,44,Hunter Mahan,61,.253,12.663,50
44,45,Marc Leishman,89,.252,16.350,65
45,46,Troy Merritt,77,.244,15.828,65
46,47,Ben Crane,80,.230,15.160,66
47,37,Jimmy Walker,85,.222,15.737,71
48,48,David Hearn,95,.214,17.563,82
49,49,Fabián Gómez,82,.213,15.516,73
50,50,Morgan Hoffmann,71,.208,12.291,59
50,61,Sean O'Hair,89,.208,17.474,84
52,51,Kelly Kraft,63,.207,9.302,45
53,52,Hudson Swafford,104,.205,18.864,92
54,53,Camilo Villegas,83,.203,14.392,71
55,54,Stuart Appleby,71,.201,13.289,66
56,55,Zac Blair,99,.195,15.806,81
57,56,Russell Henley,76,.193,13.327,69
58,58,Sung Kang,89,.186,13.606,73
59,59,Seung-Yul Noh,85,.176,12.116,69
60,57,Daniel Berger,92,.175,12.627,72
61,60,Hiroshi Iwata,85,.174,11.645,67
62,62,Martin Laird,82,.158,11.202,71
63,63,Brendon de Jonge,83,.156,10.126,65
64,64,Steve Wheatcroft,85,.153,10.738,70
64,64,Rickie Fowler,80,.153,9.807,64
66,66,Charles Howell III,91,.152,11.999,79
67,67,Chris Stroud,82,.150,10.380,69
68,68,Luke Donald,81,.148,8.761,59
69,69,Dicky Pride,55,.144,5.901,41
70,70,Ben Martin,92,.140,11.202,80
71,72,David Toms,62,.132,7.145,54
72,73,Jamie Lovemark,91,.131,10.909,83
72,73,Steven Bowditch,71,.131,7.212,55
74,75,Kyle Reifers,115,.120,11.617,97
75,77,Shane Lowry,57,.113,4.180,37
75,77,Smylie Kaufman,91,.113,8.107,72
77,79,Billy Horschel,73,.112,6.405,57
77,76,Paul Casey,77,.112,6.384,57
79,71,Kevin Na,96,.074,5.140,69
80,80,Jhonattan Vegas,97,.072,5.836,81
81,81,Steve Marino,72,.067,3.776,56
81,81,Jim Furyk,52,.067,2.965,44
83,83,Sam Saunders,69,.060,3.082,51
84,84,Cameron Tringale,81,.057,4.003,70
85,85,David Lingmerth,84,.055,3.274,60
86,86,Scott Langley,65,.045,2.395,53
87,87,D.H. Lee,61,.042,1.949,46
88,88,Henrik Norlander,71,.039,2.092,53
89,89,Jason Bohn,67,.032,1.909,59
90,90,Blayne Barber,84,.010,.776,74
90,90,Alex Cejka,71,.010,.527,51
90,90,Scott Brown,88,.010,.734,70
93,93,Spencer Levin,104,.008,.696,82
94,94,Andres Gonzales,80,.007,.466,64
95,95,Thomas Aiken,70,.006,.284,48
96,96,Bronson Burgoon,83,.002,.145,65
97,97,Chad Collins,73,-.004,-.273,64
98,98,Chris Kirk,90,-.006,-.466,74
99,99,Anirban Lahiri,72,-.020,-.959,48
100,100,Louis Oosthuizen,63,-.021,-.898,42
101,101,Brian Stuard,66,-.022,-1.340,60
102,124,Hideki Matsuyama,76,-.025,-1.472,58
103,103,Will Wilcox,67,-.027,-1.533,57
104,104,Rob Oppenheim,67,-.038,-1.931,51
105,105,Erik Compton,65,-.040,-2.058,51
106,102,Russell Knox,92,-.054,-3.500,65
107,113,Emiliano Grillo,93,-.056,-4.058,73
108,106,Cameron Smith,73,-.057,-2.619,46
109,107,Dawie van der Walt,72,-.061,-3.442,56
109,107,Brett Stegmaier,87,-.061,-4.545,75
111,109,Tyrone Van Aswegen,105,-.064,-5.648,88
111,109,Scott Pinckney,87,-.064,-4.514,71
113,112,Tom Hoge,81,-.070,-4.381,63
114,114,Tony Finau,95,-.088,-6.838,78
115,115,Charley Hoffman,91,-.092,-6.516,71
116,116,Ryan Palmer,86,-.094,-7.314,78
116,116,Vijay Singh,72,-.094,-6.090,65
118,122,Si Woo Kim,113,-.102,-10.050,99
119,118,Kyle Stanley,92,-.103,-8.100,79
120,119,Branden Grace,63,-.105,-4.403,42
121,120,Jason Gore,78,-.109,-6.561,60
122,111,J.B. Holmes,77,-.129,-7.886,61
123,123,Tyler Aldridge,83,-.130,-8.682,67
124,129,Charl Schwartzel,73,-.137,-7.649,56
125,125,Michael Thompson,71,-.151,-8.180,54
126,126,Nick Taylor,83,-.154,-10.160,66
127,127,Mark Wilson,66,-.155,-8.532,55
128,127,Gary Woodland,95,-.162,-12.638,78
129,121,Adam Scott,79,-.168,-9.406,56
130,130,Bill Haas,86,-.174,-11.157,64
131,146,Justin Thomas,99,-.185,-13.896,75
132,131,John Huh,86,-.187,-14.782,79
133,132,Lucas Glover,75,-.192,-12.866,67
133,132,Chesson Hadley,81,-.192,-12.889,67
135,134,Patrick Rodgers,89,-.193,-13.719,71
136,135,Justin Rose,65,-.197,-9.639,49
137,136,Graeme McDowell,63,-.199,-8.967,45
138,138,Robert Garrigus,69,-.200,-10.975,55
139,140,Rory McIlroy,69,-.207,-9.939,48
140,139,Jerry Kelly,76,-.214,-12.848,60
141,141,Whee Kim,82,-.219,-14.208,65
142,142,Danny Lee,93,-.221,-15.698,71
143,143,Chad Campbell,90,-.223,-17.875,80
144,144,Boo Weekley,83,-.225,-15.978,71
145,145,Graham DeLaet,70,-.227,-13.371,59
146,147,Carlos Ortiz,79,-.242,-14.777,61
147,148,James Hahn,85,-.243,-16.989,70
148,149,Roberto Castro,97,-.257,-22.642,88
149,150,Chez Reavie,90,-.262,-19.913,76
150,151,Rhein Gibson,58,-.266,-11.705,44
151,152,J.J. Henry,68,-.269,-16.396,61
152,153,Luke List,79,-.273,-17.737,65
153,154,Brendan Steele,88,-.287,-19.769,69
154,155,Jason Kokrak,89,-.288,-21.628,75
155,157,Scott Piercy,87,-.292,-18.967,65
156,158,Francesco Molinari,64,-.296,-16.896,57
157,159,Scott Stallings,74,-.305,-19.225,63
158,160,Kevin Chappell,93,-.307,-23.948,78
159,161,Matt Jones,83,-.314,-19.755,63
160,162,Jim Herman,93,-.318,-22.564,71
161,163,Kevin Streelman,82,-.326,-20.863,64
162,164,Shawn Stefani,91,-.336,-25.840,77
163,165,Padraig Harrington,54,-.342,-15.051,44
164,167,Ángel Cabrera,62,-.347,-16.986,49
165,169,Jason Dufner,105,-.353,-27.865,79
166,168,Harold Varner III,92,-.357,-28.590,80
167,166,Bubba Watson,72,-.367,-18.693,51
168,170,Sergio Garcia,54,-.388,-12.029,31
169,171,Robert Streb,87,-.396,-26.163,66
170,172,Stewart Cink,61,-.398,-19.512,49
171,173,Jeff Overton,69,-.416,-24.134,58
172,174,Abraham Ancer,51,-.421,-15.980,38
173,175,Vaughn Taylor,72,-.424,-28.391,67
174,176,Geoff Ogilvy,63,-.437,-21.846,50
175,178,Rod Pampling,54,-.475,-17.590,37
176,179,Will MacKenzie,84,-.479,-31.646,66
177,180,Webb Simpson,70,-.482,-27.946,58
178,181,George McNeill,51,-.485,-22.315,46
179,182,Robert Allenby,51,-.491,-20.117,41
180,183,Ken Duke,58,-.524,-25.147,48
181,184,Derek Ernst,59,-.556,-23.907,43
182,185,D.A. Points,55,-.596,-23.247,39
183,186,Keegan Bradley,82,-.631,-39.747,63
184,187,Rory Sabbatini,57,-.945,-36.836,39
185,188,Greg Owen,85,-.987,-68.137,69
